arch,encoder_name,pretrained,val_dice,val_iou,val_loss
DeepLabV3+,EfficientNet-B0,False,4.184595812223302e-12,4.184595812223302e-12,0.6170225143432617
DeepLabV3+,EfficientNet-B0,True,0.8429522514343262,0.7464026808738708,0.1440123915672302
DeepLabV3+,EfficientNet-B1,False,4.184595812223302e-12,4.184595812223302e-12,0.6092714071273804
DeepLabV3+,EfficientNet-B1,True,0.8560575246810913,0.7668153643608093,0.1323244124650955
DeepLabV3+,EfficientNet-B2,False,0.0056555736809968,0.0028580646030604,0.5945443511009216
DeepLabV3+,EfficientNet-B2,True,0.834013819694519,0.7403850555419922,0.153570756316185
DeepLabV3+,EfficientNet-B3,False,0.1350344717502594,0.077900730073452,0.5999319553375244
DeepLabV3+,EfficientNet-B3,True,0.8453646898269653,0.7595634460449219,0.1485825181007385
DeepLabV3+,EfficientNet-B4,True,0.8302238583564758,0.7327091097831726,0.1497097313404083
DeepLabV3+,MiT-B0,True,0.816236138343811,0.721895694732666,0.1644483506679535
DeepLabV3+,MiT-B0,False,0.8866137266159058,0.8186215162277222,0.1062421053647995
DeepLabV3+,MiT-B1,True,0.4045092165470123,0.2841812968254089,0.4737664461135864
DeepLabV3+,MiT-B1,False,0.6932517886161804,0.570164680480957,0.2665593028068542
DeepLabV3+,MobileNetV2,True,0.8893348574638367,0.8184899091720581,0.1069725304841995
DeepLabV3+,MobileNetV2,False,0.8573736548423767,0.7632394433021545,0.1399483680725097
DeepLabV3+,MobileOne-S0,True,0.9091060161590576,0.8449108004570007,0.0880855619907379
DeepLabV3+,MobileOne-S0,False,0.7920030951499939,0.6690530776977539,0.1987182945013046
DeepLabV3+,MobileOne-S1,False,0.8107132315635681,0.6915724873542786,0.1748717725276947
DeepLabV3+,MobileOne-S1,True,0.903051495552063,0.840073823928833,0.0959606319665908
DeepLabV3+,MobileOne-S2,False,0.8261690735816956,0.7130901217460632,0.16154445707798
DeepLabV3+,MobileOne-S2,True,0.90346497297287,0.8351122736930847,0.0937776789069175
