arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
unet,efficientnet-b3,zscore,same-dataset,252,1243,13158313,11.979591026306153,0.11918546345117872,0.8877374966683546,0.8207100552123876,0.019070380589082128,0.04471609999792094,0.9587570261015397,0.9232481590510374,0.019070545743618692
unet,efficientnet-b4,zscore,scratch,252,1243,20224825,37.65416486740112,0.2034918409820919,0.7857121051748434,0.6762823433235395,0.022463773155496233,0.15151562378086203,0.848276864494514,0.7638266157547697,0.022863122767635753
unet,efficientnet-b4,zscore,other-dataset,252,1243,20224825,43.230739459991455,0.05507248951150636,0.9487716240549126,0.9110929860477954,0.017077165966232617,0.04717056157722266,0.9517723721836424,0.915301523952837,0.025622534757805248
unet,efficientnet-b4,zscore,same-dataset,252,1243,20224825,32.15231750488281,0.045832028383222784,0.9566835002945204,0.92271923040634,0.017179802947101138,0.039174846094026744,0.9616783422898211,0.9288203768066504,0.022824251048621676
unet,mit_b0,zscore,scratch,252,1243,5546353,7.21836290359497,0.06218139145130701,0.9380451272978287,0.8925792302034213,0.02114419195623625,0.05217424896414589,0.946796783975124,0.9034965749910927,0.021312510328633443
unet,mit_b0,zscore,other-dataset,252,1243,5546353,7.101989107131958,0.05526117880979279,0.9462832292048853,0.902642135742875,0.021832981930365637,0.05526117880979279,0.9462832292048853,0.902642135742875,0.021832981930365637
unet,mit_b0,zscore,same-dataset,252,1243,5546353,7.056156463623047,0.24946472415594162,0.7070488131823122,0.5603077179562729,0.1142294274436103,0.15470878898569967,0.8244841023979893,0.7148522709227337,0.13105769526390804
unet,mit_b1,zscore,scratch,252,1243,16425873,6.576615357398987,0.058188000293815705,0.9422817176518091,0.8967402359217477,0.026942608464095328,0.04052182428137199,0.9570929050829174,0.9199347169957426,0.03150227707293299
unet,mit_b1,zscore,other-dataset,252,1243,16425873,6.984063658714295,0.09774214762981534,0.896595548259953,0.8193063904753829,0.03117600328747242,0.05696026093760327,0.9415759487873302,0.894802105781635,0.03467321484571412
unet,mit_b1,zscore,same-dataset,252,1243,16425873,6.966852164268493,0.27507052923629866,0.666142555368781,0.5202058627542141,0.10629930075198885,0.17674477101091599,0.798980352289717,0.6796202371893443,0.1348692968724266
unet,mobilenet_v2,zscore,scratch,252,1243,6628369,5.168871026039124,0.08255501985789689,0.9198219778071655,0.8649130519704289,0.02564586829098444,0.07401062235272132,0.9256850961514854,0.8691413323915685,0.036369445186758796
unet,mobilenet_v2,zscore,other-dataset,252,1243,6628369,5.16588478565216,0.11371320173180305,0.8939416260845894,0.823375968518798,0.02502762641580332,0.074421177947128,0.9262650152990536,0.8699713558893671,0.024200991505668276
